OriginationVintage,GrossApproval,SBAGuaranteedApproval,TermInMonths,InitialInterestRate,JobsSupported,seasonedCount,MPRIME,PP,IP,CORPORATIONCount,INDIVIDUALCount,PARTNERSHIPCount,LoanPortfolioAmortized,GrossApprovalChargedOff,SBAGuaranteedApprovalChargedOff,GrossChargeOffAmount,CORPORATIONChargedOff,INDIVIDUALChargedOff,PARTNERSHIPChargedOff,MajorState,OtherState,TermInMonthsChargedOff,InitialInterestRateChargedOff,seasonedTime,seasonedChargedOffPool,JobsSupportedChargedOff,MPRIMEChargedOff,rollSumChargeOff,rollAvgPortfolioAmortized,rollLossRate,rollLossRateDiff,unEmpScore,unEmpScoreDiff,ChargedOffLoans,LoansInPool,seasonedRatioPool,CorporationRatio,IndividualRatio,PartnerShipRatio
2003-03-01,879743052,630462680,158.81929140487262,4.25,9.334152790785554,3777.0,4.25,560823257.3914958,469889408.4066953,311720.0,163262.0,29752.0,76030158134.22363,98536527.0,72829860.0,55717898.0,312.0,147.0,28.0,274.0,213.0,116.94347207785907,4.25,52.162186987025244,0.5422757333738613,6.274504594555954,4.25,537499041.0,73735413468.04214,0.007289564345264828,0.001625047601124645,6.072517228934457,0.04516438949962964,487.0,504734.0,0.007483149540153823,0.6175926329512179,0.3234614668320343,0.05894590021674783
2003-04-01,977050654,698405311,163.37612765980504,4.25,9.183034733427444,3211.0,4.25,568743402.5015978,469869505.8242725,315776.0,165031.0,29996.0,76438465385.72203,78999543.0,55097756.0,46193691.0,243.0,128.0,21.0,206.0,186.0,137.53045250270216,4.25,51.61204539814755,0.41927946394238125,6.4820850752108115,4.25,541011414.0,74216894310.24751,0.0072895992082128895,0.0014307157368962306,6.117206533441962,0.04468930450750541,392.0,510803.0,0.006286180778108195,0.6181952729330094,0.3230815010875034,0.0587232259794872
2003-05-01,978077008,700249563,165.58362737118958,4.25,9.289811490998671,3035.0,4.25,576635546.2522995,469815049.046057,319956.0,166856.0,30191.0,76839906847.46973,83546715.0,61200590.0,50499073.0,287.0,115.0,17.0,204.0,215.0,115.70361398515176,4.25,50.58502361023538,0.4564511312910635,5.7888991744462315,4.25,548577277.0,74685756489.89546,0.007345139190954292,0.0014082893600252866,6.167852538472121,0.050646005030158925,419.0,517003.0,0.005870372125500239,0.6188668150861794,0.32273700539455286,0.05839617951926778
2003-06-01,1079765289,776469218,166.40957316233937,4.22,9.79624214888056,3085.0,4.22,584993001.8698875,470055584.1462957,324070.0,168566.0,30421.0,77334679134.59984,95240395.0,69955305.0,59060082.0,306.0,136.0,20.0,259.0,203.0,125.33781221299354,4.22,57.26799578436075,0.51156029549705,4.9558364649747695,4.22,566280186.0,75153147810.37473,0.007535016196910734,0.0013990115561209994,6.184384940584667,0.016532402112545697,462.0,523057.0,0.005898018762773465,0.6195691865322518,0.32227080413798115,0.05816000932976712
2003-07-01,1058436780,755011808,166.34398499455017,4.0,10.715556010818142,3525.0,4.0,593373679.6446115,469987308.85741407,328354.0,170251.0,30630.0,77799742234.95523,93543316.0,68408378.0,53619481.0,306.0,124.0,22.0,237.0,215.0,123.12849128472541,4.0,51.506635769189934,0.4266578037187641,5.999074888471972,4.0,566868910.0,75614735814.63799,0.0074968047417321255,0.0010163267181166804,6.1786850760359355,-0.0056998645487311705,452.0,529235.0,0.0066605572193826935,0.6204313773654426,0.32169263181762353,0.05787599081693388
2003-08-01,1008323232,720329096,170.1270164307788,4.0,9.06040326064807,3422.0,4.0,601427381.2187876,469712953.96193844,332417.0,171928.0,30849.0,78206638085.73645,93544107.0,67601871.0,56905291.0,282.0,136.0,17.0,218.0,219.0,141.13387893930636,4.0,51.89908189732304,0.4199806306236093,7.771337888422361,4.0,576272427.0,76062403626.24934,0.007576311022613106,0.0010703225702438203,6.148007329709023,-0.030677746326912114,435.0,535194.0,0.006393943130902065,0.6211149601826628,0.32124425909109594,0.05764078072624133
2003-09-01,1395028355,996642800,176.0057365636844,4.0,10.788333660787849,4036.0,4.0,610940960.5280545,470689595.3740026,337640.0,173922.0,31108.0,78990725480.20839,104152119.0,75784341.0,63699659.0,298.0,130.0,22.0,239.0,211.0,126.85793647655163,4.0,52.51575582217795,0.5029107298674864,4.166240858526417,4.0,566359918.0,76446485995.50282,0.0074085801410586445,0.0006456453348200079,6.0598598354324045,-0.08814749427661894,450.0,542670.0,0.007437300753680874,0.6221829104243831,0.32049311736414393,0.0573239722114729
2003-10-01,1037274013,731477415,166.87354147375135,4.0,10.319924705372909,3471.0,4.0,619345998.7028428,470430758.5095658,342110.0,175686.0,31312.0,79408653494.50555,53182465.0,38793199.0,30586691.0,197.0,92.0,5.0,163.0,131.0,118.81199702184195,4.0,54.8407332784053,0.5471718728907289,3.8352666524142807,4.0,563423691.0,76853507495.78291,0.007331138283193074,0.00045354628673907604,5.95205027424506,-0.1078095611873442,294.0,549108.0,0.006321160864529382,0.6230286209634535,0.3199479883738718,0.057023390662674735
2003-11-01,932452952,661166164,168.38878078322605,4.0,10.251013296164674,3589.0,4.0,627251292.1719916,469783172.13201046,346067.0,177307.0,31501.0,79713855154.33356,60198390.0,41920098.0,33286055.0,174.0,69.0,5.0,121.0,127.0,132.4574987333284,4.0,54.20014444487339,0.45935584736611174,25.50502121684291,4.0,568951019.0,77270131353.50833,0.007363142899253887,0.0004882090523837916,5.868643859568793,-0.08340641467626764,248.0,554875.0,0.006468123451227754,0.6236846136517233,0.3195440414507772,0.05677134489749944
2003-12-01,1189148900,842134613,172.12318150821986,4.0,11.347964678771515,3710.0,4.0,636176114.6497666,469953480.9040323,350766.0,179012.0,31713.0,80266827939.68379,58992595.0,44274364.0,34974005.0,217.0,113.0,10.0,145.0,195.0,119.91714348985768,4.0,52.0853363233636,0.49389430807252416,4.932154953371797,4.0,572624044.0,77704980266.83775,0.007369206478575987,0.00042697559324950726,5.809218261577943,-0.05942559799084979,340.0,561491.0,0.006607407776794285,0.6247045811954244,0.31881543960633385,0.056479979198241825
2004-01-01,895174768,641122142,167.36347918599958,4.0,11.24011738230763,3390.0,4.0,644025653.5217106,469102641.06954813,354278.0,180326.0,31863.0,80517977054.16208,51941613.0,37460838.0,29415342.0,185.0,98.0,14.0,136.0,161.0,114.36044904730328,4.0,55.205637078773385,0.536651452157177,10.541598462462208,4.0,558843050.0,78104905607.10127,0.007155031372948617,0.00025309697740005625,5.748573937254671,-0.06064432432327216,297.0,566467.0,0.005984461583816886,0.6254168380505837,0.31833451904524007,0.056248642904176235
